event_id,center_date,is_flood_event,window_n_days,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_3day_max,api_k_0_90_max,storm_wind_max,storm_wind_mean,event_duration_proxy,flood_label_in_window,severity_rank,rp,total_impact,aep
N001,1978-04-09,0,5,19.0781,16.18398,0.3332259623127718,0.2738605250442906,0,0.0,0.0,2,11.704464222031495,32.046279250059754,,,0,0,0.1375,1.1594202898550725,23095.210632517403,0.4975124378109453
N014,1997-02-13,0,5,22.1517,20.07876,0.3858914478982123,0.3499221560100929,0,0.0,0.0,-2,10.549899019605633,34.33422925321182,3.26,2.622,0,0,0.15,1.1764705882352942,23095.210632517403,0.4975124378109453
F035,2020-05-20,1,5,23.9947,20.29642,0.4144521393675847,0.3502979545820582,0,0.0,0.0,-2,14.508337737845576,48.04221393099246,2.39,2.006,0,1,0.1625,1.1940298507462686,23095.210632517403,0.4975124378109453
N013,1996-10-29,0,5,24.7643,20.68242,0.4265850646910399,0.359070166961937,0,0.0,0.0,-2,7.1957573987157275,37.12127136293228,2.09,1.536,0,0,0.175,1.2121212121212122,23095.210632517403,0.4975124378109453
N028,2012-06-13,0,5,25.1417,21.59472,0.4323830998013636,0.3757234122510334,0,0.0,0.0,-2,12.07044531742195,40.94954829149211,2.38,2.1819999999999995,0,0,0.1875,1.2307692307692308,23095.210632517403,0.4975124378109453
N038,2020-03-25,0,5,26.5715,19.00386,0.4532667633005852,0.3215601009287593,0,0.0,0.0,-2,22.716999698565836,28.73954185776179,2.13,1.736,0,0,0.2,1.25,23095.210632517403,0.4975124378109453
N023,2007-02-01,0,5,31.0974,17.57048,0.512535566650561,0.2847801578354002,0,0.0,0.0,2,16.61815729206812,34.067726670820164,2.8,2.014,0,0,0.2125,1.2698412698412698,23095.210632517403,0.4975124378109453
N022,2003-01-30,0,5,31.2924,23.732080000000003,0.5150051001234767,0.404702850700596,0,0.0,0.0,-2,16.88924127107674,35.66290648854827,1.88,1.518,0,0,0.225,1.2903225806451613,23095.210632517403,0.4975124378109453
F040,2025-11-25,1,5,31.9029,14.552678,0.5227358136039083,0.2052987598647125,0,0.0,0.0,2,21.78353402289306,36.37719189358808,2.18,1.5059999999999998,0,1,0.2375,1.3114754098360657,23095.210632517403,0.4975124378109453
F018,2004-04-24,1,5,33.4823,16.49268,0.5402909754657218,0.2522789499114189,0,0.0,0.0,2,23.261301695506596,40.327170996224766,2.65,2.19,0,1,0.25,1.3333333333333333,23095.210632517403,0.4975124378109453
N040,2024-08-28,0,5,35.3936,31.63798,0.5628388897836474,0.51815107102593,0,0.0,0.0,-2,12.572487326001587,54.30262047485901,1.42,1.34,0,0,0.2625,1.3559322033898304,23095.210632517403,0.4975124378109453
N008,1985-03-11,0,5,35.9793,30.44284,0.5690127234659366,0.5018521501046868,0,0.0,0.0,-2,9.515348971531637,44.48431546978491,2.02,1.862,0,0,0.275,1.3793103448275863,23095.210632517403,0.4975124378109453
N003,1979-07-14,0,5,41.459,37.63502,0.6217855800719386,0.5830568529553873,0,0.0,0.0,0,24.39426855432661,59.647644309199706,,,0,0,0.2875,1.4035087719298245,23095.210632517403,0.4975124378109453
N016,1997-09-18,0,5,45.1323,39.59922,0.6527084339936651,0.6032211306168465,0,0.0,0.0,-2,21.742468236317965,62.75587166768903,1.7,1.5820000000000003,0,0,0.3,1.4285714285714286,23095.210632517403,0.4975124378109453
