event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,RH2M_mean,WS2M_max,WS2M_mean
N068,11/3/16,0,5,0,,0,39.12697422,75.32256133,0,0,1.207528334,90.21,86.66,1.57,1.3
N069,2/8/17,0,5,0,,0,8.539340175,19.12018642,0,0,0.561878429,80.89,69.48,1.65,1.406
N070,9/1/17,0,5,0,998.8939569,0,30.75539182,78.5439878,0,0,1.188507687,88.64,83.83,1.79,1.466
F034,9/8/17,1,5,1,25.99071469,1,143.7349262,209.8653307,4,0.326289794,8.020064304,92.85,89.828,4.9,3.678
N071,8/8/18,0,5,0,5299.989625,0,97.44608297,128.3283243,4,0.170709186,3.174277711,84.02,78.552,1.72,1.516
N072,8/29/18,0,5,0,11185.42446,0,24.12728332,60.99643662,0,0,1.174768339,82.72,78.072,2.08,1.626
N073,2/18/20,0,5,0,,0,3.965417835,27.38429909,0,0,0.226297511,79.95,76.662,1.7,1.54
F035,5/20/20,1,5,1,2439.944898,0,14.50833774,48.04221393,0,0,0.842873095,71.15,68.22,2.39,2.006
N074,6/13/20,0,5,0,3713.580143,0,74.58547441,109.6473738,3,0.122837816,3.995136563,87.42,77.59,2.65,2.066
F036,9/4/20,1,5,1,829.2168962,0,61.65969679,108.2712488,1,0.048300854,2.713408959,91.61,82.98,2.77,1.742
N075,2/21/21,0,5,0,,0,9.38392436,30.57091865,0,0,0.615554141,79.3,71.284,4.41,2.388
F037,8/19/21,1,5,1,27.19416741,1,179.0041524,204.7849422,1,0.099892629,18.42558047,92.62,79.852,4.81,2.346
N076,1/1/22,0,5,0,,0,7.895352875,12.43647756,0,0,1.040356541,62.09,55.418,3.43,2.086
N077,2/13/22,0,5,0,,0,23.45107105,43.88303937,0,0,2.561392853,81.95,71.416,4.49,2.466
N078,4/4/24,0,5,0,,0,2.686073528,14.4828243,0,0,0.189857446,66.01,53.856,3.83,2.918
N079,5/15/24,0,5,0,,0,3.437395926,11.97827543,0,0,0.175131437,60.81,44.812,3.07,2.674
F038,7/10/24,1,5,1,749.4376932,0,101.4393019,183.1944315,3,0.243737585,4.269342434,93.31,86.368,2.67,1.736
N080,7/20/24,0,5,0,,0,33.41562858,137.2731899,2,0.030675901,2.215953599,91.97,88.072,1.78,1.664
F039,10/10/25,1,5,1,3696.631246,0,278.9410625,298.5314614,5,0.480673216,10.26925075,94.47,90.97,3.35,2.16
F040,11/25/25,1,5,1,,0,21.78353402,36.37719189,0,0,1.195258707,90.12,87.742,2.18,1.506
