event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,max_percentile,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,WS2M_max,month,RH2M_max_monthly_med,WS2M_max_monthly_med
N060,2013-08-05,0,5,0,2066.532473,0,12.57377737,38.58739576,0.318032963,0,0.0,0.90106921,79.15,1.84,8,79.15,1.84
N061,2013-09-08,0,5,0,186.7463161,1,43.00522767,118.5058984,0.93530896,4,0.068223546,1.73655389,90.43,2.55,9,90.43,2.55
F032,2013-09-13,1,5,1,263.2384549,1,106.4356648,189.6588661,0.991732431,5,0.364551458,4.509513202,95.47,2.86,9,95.47,2.86
N062,2013-09-23,0,5,0,,0,64.10548195,213.770488,0.989799753,5,0.354727009,4.709414324,91.55,3.48,9,91.55,3.48
N063,2014-04-29,0,5,0,,0,21.0332801,44.59742442,0.61233693,0,0.0,1.40041479,62.79,3.92,4,62.79,3.92
F033,2014-05-10,1,5,1,,0,25.80700471,49.21039271,0.653782144,0,0.0,2.411489444,79.85,3.09,5,79.85,3.09
N064,2014-09-03,0,5,0,162.0481893,1,38.18919847,68.47677635,0.769205991,0,0.0,1.27413823,93.69,2.71,9,93.69,2.71
N065,2014-10-12,0,5,0,3508.146133,0,37.68428141,97.51307368,0.923014978,1,0.023014978,1.643005197,85.49,3.39,10,85.49,3.39
N066,2014-12-26,0,5,0,,0,18.44978742,37.39300206,0.605089386,0,0.0,1.146662629,92.69,3.76,12,92.69,3.76
N067,2015-08-02,0,5,0,,0,8.927301268,42.8037506,0.450743544,0,0.0,0.686022531,75.53,1.74,8,75.53,1.74
N068,2016-11-03,0,5,0,,0,39.12697422,75.32256133,0.853170129,0,0.0,1.207528334,90.21,1.57,11,90.21,1.57
N069,2017-02-08,0,5,0,,0,8.539340175,19.12018642,0.251892414,0,0.0,0.561878429,80.89,1.65,2,80.89,1.65
N070,2017-09-01,0,5,0,998.8939569,0,30.75539182,78.5439878,0.752402427,0,0.0,1.188507687,88.64,1.79,9,88.64,1.79
F034,2017-09-08,1,5,1,25.99071469,1,143.7349262,209.8653307,0.998228378,4,0.326289794,8.020064304,92.85,4.9,9,92.85,4.9
N071,2018-08-08,0,5,0,5299.989625,0,97.44608297,128.3283243,0.982766951,4,0.170709186,3.174277711,84.02,1.72,8,84.02,1.72
N072,2018-08-29,0,5,0,11185.42446,0,24.12728332,60.99643662,0.635260643,0,0.0,1.174768339,82.72,2.08,8,82.72,2.08
N073,2020-02-18,0,5,0,,0,3.965417835,27.38429909,0.323884684,0,0.0,0.226297511,79.95,1.7,2,79.95,1.7
F035,2020-05-20,1,5,1,2439.944898,0,14.50833774,48.04221393,0.414452139,0,0.0,0.842873095,71.15,2.39,5,71.15,2.39
N074,2020-06-13,0,5,0,3713.580143,0,74.58547441,109.6473738,0.957212648,3,0.122837816,3.995136563,87.42,2.65,6,87.42,2.65
F036,2020-09-04,1,5,1,829.2168962,0,61.65969679,108.2712488,0.948300854,1,0.048300854,2.713408959,91.61,2.77,9,91.61,2.77
N075,2021-02-21,0,5,0,,0,9.38392436,30.57091865,0.26091158,0,0.0,0.615554141,79.3,4.41,2,79.3,4.41
F037,2021-08-19,1,5,1,27.19416741,1,179.0041524,204.7849422,0.999892629,1,0.099892629,18.42558047,92.62,4.81,8,92.62,4.81
N076,2022-01-01,0,5,0,,0,7.895352875,12.43647756,0.071401729,0,0.0,1.040356541,62.09,3.43,1,62.09,3.43
N077,2022-02-13,0,5,0,,0,23.45107105,43.88303937,0.631126859,0,0.0,2.561392853,81.95,4.49,2,81.95,4.49
N078,2024-04-04,0,5,0,,0,2.686073528,14.4828243,0.036613518,0,0.0,0.189857446,66.01,3.83,4,66.01,3.83
N079,2024-05-15,0,5,0,,0,3.437395926,11.97827543,0.002979546,0,0.0,0.175131437,60.81,3.07,5,60.81,3.07
F038,2024-07-10,1,5,1,749.4376932,0,101.4393019,183.1944315,0.986632308,3,0.243737585,4.269342434,93.31,2.67,7,93.31,2.67
N080,2024-07-20,0,5,0,,0,33.41562858,137.2731899,0.921511784,2,0.030675901,2.215953599,91.97,1.78,7,91.97,1.78
F039,2025-10-10,1,5,1,3696.631246,0,278.9410625,298.5314614,1.0,5,0.480673216,10.26925075,94.47,3.35,10,94.47,3.35
F040,2025-11-25,1,5,1,,0,21.78353402,36.37719189,0.522735814,0,0.0,1.195258707,90.12,2.18,11,90.12,2.18
