event_id,center_date,is_flood_event,flood_label_in_window,flow_raw_max,flow_raw_mean,flow_pct_max,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_14day_max,rain_1day_max,rain_1day_sum,rain_before_peak,storm_wind_max,storm_wind_mean
N008,1979-10-18,0,0,-0.7379063969318167,-0.810001545885776,-2.058782200096464,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-1.2075489394995187,-0.8677883362795525,-0.9138301448472519,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
F005,1981-06-16,1,1,1.7389453929682799,1.1602669354459667,0.9933465775867277,1.3871846719771588,1.7016138620893313,1.005405587432159,1.2097756874438947,1.0836225668469264,1.4622924973466558,1.7834565128749127,2.0280954196778262,-0.12906606055865116,-0.11579609593894033
N009,1981-07-07,0,0,-0.07670101682807562,0.13558051289194592,0.803003001222904,0.3302820647564664,0.2739869638769479,-0.05219994928383286,1.2097756874438947,0.6647372632855447,-0.09966817522952612,0.03215026421256616,0.4378186428430093,-0.9144579097999356,-0.8918982719289817
N010,1981-08-17,0,0,-0.6527717569343119,-0.6591717841945861,-0.6869462928566292,-0.726620542464226,-0.736509400893528,-0.635667982725249,1.2097756874438947,-0.795899098021516,-0.6395183585644937,-0.5856896182674978,-0.6398380435181389,-1.521827606546529,-1.3460006089444319
N011,1982-11-02,0,0,-0.5021775314253205,-0.56871166216151,0.23860382799345015,-0.726620542464226,-0.736509400893528,-0.635667982725249,1.2097756874438947,-0.6133135506079161,-0.32698238973743377,-0.38942145155234326,-0.5560768147608194,2.2061657045187677,0.27225499205608106
N012,1983-05-18,0,0,-0.4504745211817923,-0.46030035669316055,0.3880826817480912,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.34400990749697274,0.023633725175506073,-0.34641869403525855,-0.305625134949775,0.2583939184003826,1.2506391181711878
N013,1984-03-26,0,0,-0.7206897062162282,-0.7820729188982846,-1.6639357794472147,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-1.025634806511514,-0.7899975995843718,-0.8653232682441794,-0.305625134949775,1.274167376752444,1.1061520109389984
N014,1984-08-08,0,0,-0.06137747389594392,0.34088688944230583,0.8116061007195742,1.915635975587505,0.33851247340067236,0.5267657700508598,0.029506724083997436,0.2400464291839689,0.030434276713284573,0.3156024650864451,0.19469987313854625,-1.1657833015571466,-0.9084110841840886
N015,1984-11-07,0,0,-0.6960572025764555,-0.7550612415659077,-1.225894630075101,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.7924611054669577,-0.8458563940800237,-0.8873517489851971,-0.305625134949775,0.5306630928040277,-0.06625765917361753
N016,1985-03-03,0,0,-0.5770352579766864,-0.5925024701056154,-0.08060700958090888,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.6694525248473586,-0.638097026609305,-0.7722690248232673,-0.305625134949775,0.4783036361879422,0.19381913384432095
N017,1986-06-20,0,0,-0.5273695500262611,-0.4411386443445944,0.15311052674529224,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.2936848188458657,-0.6400007675147203,-0.42356415386044216,-0.305625134949775,-0.7154919746588103,-0.42541132572220164
