storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_max_mm,RH2M,WS2M,storm_max_wind_kt
0,2.969511745949523,9.870215648903542,0,0.0,2.16962952629167,53.24,2.21,0
0,3.4170663897366422,10.19160348681134,0,0.0,1.4210635772933076,83.3,1.99,0
0,1.4036847238016106,8.508593819420511,0,0.0,0.5863248117185743,44.77,2.68,0
0,0.6412644558608076,6.875131527026462,0,0.0,0.6331870807385647,58.2,2.57,0
0,0.4242228031086323,15.145741099064498,0,0.0,0.2295237184678607,58.01,1.47,50
0,0.0969568302391588,8.73914320418443,0,0.0,0.0962930289528409,42.64,2.06,0
0,0.008144357717018,6.935322401985815,0,0.0,0.00022126709543928284,55.42,1.92,0
0,1.2135911987972727,11.573467404691447,0,0.0,0.0761292677584034,65.19,2.42,0
0,1.9488011044310003,7.102735063712666,0,0.0,0.3039580414403962,46.75,1.87,0
0,0.0,7.417007850789165,0,0.0,0.0,60.24,2.4,0
0,0.4480700492886562,8.592200700427272,0,0.0,0.0077519500501577,30.06,2.49,0
0,0.0261058567742444,8.72814654131112,0,0.0,0.0217553293433218,58.98,1.53,35
0,6.3697332428160305,10.43904583661294,0,0.0,2.7667925672145883,56.03,2.39,0
0,0.8497977196793328,7.525104785389582,0,0.0,0.7849948526774732,65.93,2.42,0
0,1.539567752244024,7.462364339415315,0,0.0,0.699763633676756,58.78,2.45,0
0,0.1066694333548076,8.241119834210183,0,0.0,0.0,38.09,2.2,0
0,1.6162854373712097,7.637204226121365,0,0.0,0.4847744910734129,59.72,2.23,0
0,2.919062437633618,8.095622590863378,0,0.0,1.0245367954568547,57.44,3.7,0
0,0.0079230906215787,7.7056679276559725,0,0.0,0.0070644165243976,49.6,2.04,0
0,2.5645958323139366,7.893914697276534,0,0.0,1.0077303058539264,70.47,2.55,0
0,2.3095212572350476,7.526316871057803,0,0.0,1.0167680944631643,53.54,2.34,0
0,0.5519309746748736,5.74324596077469,0,0.0,0.1285191718841943,70.54,1.76,0
0,3.915317967944639,8.98698336223757,0,0.0,0.7872029887679464,69.61,2.01,0
0,1.6144229000658965,6.5975448167470745,0,0.0,1.102554322949785,77.89,1.61,0
0,9.06411783719854,15.562330478798115,0,0.0,3.0647057036204313,68.68,1.94,0
0,0.0173198384028412,14.933121924145864,0,0.0,0.0095607125384025,51.79,2.19,0
0,0.0,11.37744817400446,0,0.0,0.0,41.6,1.74,0
0,0.2816389733183337,9.923875474817844,0,0.0,0.1467161442045506,78.02,1.81,0
0,2.7425356935737844,15.12633827130932,0,0.0,1.8925221379667376,60.83,2.15,0
0,5.685982775712019,12.734307316985024,0,0.0,1.3264875263326918,51.34,3.21,35
0,0.8672601537041975,9.156799815789093,0,0.0,0.0,32.31,2.31,0
0,0.7718921636439103,6.320027184995867,0,0.0,0.1268871823999506,68.86,1.65,0
0,0.0026692513218048,8.55329567125537,0,0.0,0.00022126709543928284,38.73,3.37,0
0,0.1179946693082829,8.714284437528555,0,0.0,0.0291866376000129,34.3,2.14,0
0,3.0695192701847653,7.938496545180353,0,0.0,0.7835661107523526,56.51,2.39,0
0,2.0239423715906577,11.955515995522244,0,0.0,1.4445063967988565,48.63,2.24,0
0,2.410724763983618,7.434318953301355,0,0.0,0.472651041604439,58.95,2.19,0
0,2.1846611692822853,8.26710877384192,0,0.0,0.6415282994186314,63.6,2.47,0
0,5.8960013856699405,19.86623136743826,0,0.0,1.8796509012974367,62.49,2.47,0
0,0.1033418898034633,9.709667411103949,0,0.0,0.0962930289528409,57.23,1.8,0
0,0.6590430735100101,6.877165812509149,0,0.0,0.2514696706364406,77.06,1.36,0
0,1.2687703912135595,9.062482458375818,0,0.0,1.2187413962183615,48.37,2.61,0
0,1.7307753116392313,10.381143238809049,0,0.0,0.8414775822918074,58.63,2.05,0
0,3.2474881311765604,10.013425272877138,0,0.0,0.1061596746818124,54.88,2.08,0
0,2.6935887842572654,8.260830461957974,0,0.0,1.3211475507454318,56.51,2.65,0
0,2.981578702449024,8.864827951180365,0,0.0,1.2501161156768656,64.01,2.6,0
0,1.0468382729495995,15.9746438435119,0,0.0,0.5417049075382109,53.91,1.75,0
0,1.7212152419335822,8.25134735644938,0,0.0,0.4228489732066893,63.86,2.34,0
0,1.964086856971004,8.3723276241783,0,0.0,0.3851149433816816,61.97,2.25,0
0,1.5470268463731724,10.174222017543435,0,0.0,0.7150347152123863,32.34,2.38,0
0,0.7041248273321881,11.678899554137097,0,0.0,0.5763055927239445,50.77,2.05,0
0,0.3204391957398518,7.234482539833687,0,0.0,0.1619174725773382,75.91,1.6,0
0,1.1824344612873392,9.679987690746422,0,0.0,0.037260472536735,28.52,2.79,0
0,1.433160031834464,8.60535011402489,0,0.0,0.2343400514851314,57.19,2.6,0
0,2.842327503770002,8.417459452906387,0,0.0,1.0985241759787574,58.74,2.19,0
0,2.6860735282011197,12.701362960378646,0,0.0,0.0331249271881067,66.01,2.7,0
0,1.3387231571738818,10.843839526809518,0,0.0,1.2736587184820405,68.17,2.59,0
0,1.6213703854289188,11.186169537987364,0,0.0,0.7605907203493898,34.19,4.31,0
0,1.9897185432832796,9.460961252819864,0,0.0,0.8608693063276655,82.26,1.52,0
0,0.1428519569856774,12.910589177245514,0,0.0,0.1272951797710115,44.33,2.16,0
0,0.8868583402981193,8.222860226843492,0,0.0,0.0591943317112135,69.14,1.54,0
0,0.601158434539385,9.503416004622146,0,0.0,0.0008159947421218688,49.6,2.06,0
0,1.0523591829045271,7.816876953819425,0,0.0,0.3782477402234677,60.31,2.46,0
0,3.052800285535985,9.41042059252902,0,0.0,1.5009302416455357,52.68,2.87,0
0,6.757097196186583,12.855214399072729,0,0.0,1.6748686917412647,77.99,2.36,0
0,1.814589074217204,9.995135494489348,0,0.0,1.4655618659528904,59.04,3.11,0
0,0.8116224636191476,9.052252812747753,0,0.0,0.2739720951441156,58.79,1.75,0
0,0.4554266699278069,7.967095151000884,0,0.0,0.075639014520364,48.17,2.13,0
0,0.5014202903802323,7.380079725613481,0,0.0,0.3058220822142968,55.77,2.08,0
0,3.005329521938336,8.92227583897049,0,0.0,0.0215093522421051,50.49,2.38,0
0,0.8736965648566258,11.583976464042191,0,0.0,0.6797666926689749,58.1,2.09,0
0,0.4191775873289982,8.59699312193312,0,0.0,0.1789198474914985,76.32,1.45,0
0,2.5453491662471057,19.27921076128304,0,0.0,1.6332141385693952,59.32,2.06,0
0,0.0015162258614349,7.643408258449232,0,0.0,0.0004079973710609344,45.56,2.21,0
0,2.3238432393481014,17.058520838155232,0,0.0,2.1749784400313317,78.16,1.63,0
0,2.200254979762056,9.348568569651912,0,0.0,0.9295124067816536,76.94,1.47,0
0,2.4781790354807147,9.844130816714562,0,0.0,1.369294750687314,74.06,2.18,0
