event_id,center_date,is_flood_event,flood_label_in_window,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_14day_max,rain_1day_max,rain_before_peak,storm_wind_max,storm_wind_mean
N007,1984-04-02,0,0,-0.909521591019261,-0.9534767584756425,-2.4972602170655467,-2.0863152829031164,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-0.07617084514316312,-1.2585339309253891,-0.8812166548842453,-1.021567915282434,0.3088116832035895,1.2331412894095974
N008,1985-03-11,0,0,-0.8102142640358541,-0.7974565159209767,-0.6705755708003948,-0.5298577277948499,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-1.294904367433773,-0.6669719669314819,-0.8576195233515362,-0.3055314965866405,-0.9876869537172646,-0.5966001579772409
N009,1986-06-29,0,0,-0.39448691281940834,-0.2636389339627462,0.5835605721992104,0.7038367921224888,0.09894110999272401,-0.2547322723037693,-0.5617638827684349,-1.294904367433773,-0.3519935592204823,-0.585629281522895,-0.3055314965866405,-0.7528879879756926,-0.7784137901700136
F006,1988-09-03,1,1,1.1976336632175335,1.6235590295985673,0.8137336298980993,1.0398556502672067,1.0883522099199645,1.2487511809414353,1.4965624470428731,1.1425626771474469,0.9710641827786881,1.4260869184554825,3.099071132994512,1.768648731075102,1.0706695329820142
N010,1988-12-31,0,0,-0.8919096346652002,-0.9308650961996996,-1.9911399931844005,-1.7509285144087834,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-1.294904367433773,-1.1427152774935492,-0.9368179268566731,-0.3055314965866405,-1.355198378356247,-1.5985093226140092
F007,1990-08-07,1,1,0.9938075724032797,0.7546781869894158,0.8092678632167951,0.6305505120864107,0.5936466599563442,1.219580928008627,0.9553474764524419,0.5331959160021419,0.3133060551619666,0.804493157016618,1.04136743042969,3.6266231556388457,1.968132568486763
N011,1993-09-18,0,0,1.2939775661566575,0.3615988213166166,0.8159665132387515,0.7294815722238275,-0.39576443997089616,1.2633363074078408,-0.14908160726591516,1.1425626771474469,1.0123481384048914,1.9330140595489902,-0.4248315781903212,2.054490950238755,1.3182455427764272
F008,1993-10-03,1,1,0.022187940736329667,0.5439763511765658,0.7380016699276484,1.0232046029056339,1.5830577598835847,0.7540723082892135,1.3269526644956078,-1.294904367433773,1.5964084575016635,-0.34635958131552813,-0.3055314965866405,-0.6814274331847796,-0.48828565369218435
N012,1995-04-29,0,0,-0.8837359916428079,-0.9108510894501564,-1.7918551550311992,-1.4880875780743625,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-0.07617084514316312,-1.0637735844883305,-0.855594259554865,-0.8411419267971195,-0.06890839211980906,0.3240731284457351
N013,1996-10-29,0,0,-0.8492382770184558,-0.8634408305344873,-1.1642288626962334,-1.0101736232703378,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-1.294904367433773,-1.0853163031333761,-0.8686660794652801,-0.3055314965866405,-0.9162263989263515,-1.2271453079223884
N014,1997-02-13,0,0,-0.8583291496282056,-0.867521811820087,-1.3052726603807587,-1.0409473593919436,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-1.294904367433773,-0.9899654550530107,-0.8190027677146843,-0.3055314965866405,0.2781857311503407,0.8733824001770902
